iter	Passed	Remaining
661	1075	548
662	1076	547
663	1077	545
664	1078	543
665	1079	541
666	1080	539
667	1081	537
668	1082	535
669	1083	533
670	1085	531
671	1086	530
672	1087	528
673	1088	526
674	1089	524
675	1090	522
676	1091	520
677	1093	519
678	1094	517
679	1095	515
680	1096	513
681	1097	511
682	1098	509
683	1099	507
684	1100	506
685	1101	504
686	1102	502
687	1104	500
688	1105	498
689	1106	497
690	1107	495
691	1108	493
692	1109	491
693	1110	489
694	1111	487
695	1112	486
696	1113	484
697	1115	482
698	1116	480
699	1117	478
700	1118	477
701	1119	475
702	1121	473
703	1122	471
704	1123	469
705	1124	468
706	1125	466
707	1126	464
708	1127	462
709	1129	461
710	1130	459
711	1131	457
712	1133	456
713	1134	454
714	1135	452
715	1136	450
716	1137	449
717	1139	447
718	1140	445
719	1142	444
720	1143	442
721	1145	441
722	1147	439
723	1148	437
724	1149	436
725	1150	434
726	1152	432
727	1153	430
728	1154	429
729	1155	427
730	1156	425
731	1158	424
732	1159	422
733	1160	420
734	1162	419
735	1163	417
736	1165	415
737	1166	414
738	1167	412
739	1169	410
740	1170	409
741	1171	407
742	1172	405
743	1174	403
744	1175	402
745	1176	400
746	1177	398
747	1179	397
748	1180	395
749	1181	393
750	1182	392
751	1183	390
752	1184	388
753	1185	386
754	1186	385
755	1187	383
756	1189	381
757	1190	380
758	1191	378
759	1194	377
760	1195	375
761	1196	373
762	1198	372
763	1199	370
764	1200	368
765	1201	367
766	1202	365
767	1203	363
768	1205	362
769	1206	360
770	1207	358
771	1208	357
772	1210	355
773	1211	353
774	1212	351
775	1213	350
776	1214	348
777	1215	346
778	1216	345
779	1217	343
780	1218	341
781	1219	340
782	1221	338
783	1222	336
784	1223	335
785	1224	333
786	1225	331
787	1226	330
788	1228	328
789	1229	326
790	1230	325
791	1231	323
792	1232	321
793	1234	320
794	1235	318
795	1236	316
796	1237	315
797	1239	313
798	1240	312
799	1241	310
800	1243	308
801	1244	307
802	1245	305
803	1246	303
804	1247	302
805	1248	300
806	1250	298
807	1251	297
808	1252	295
809	1253	294
810	1254	292
811	1255	290
812	1256	289
813	1257	287
814	1258	285
815	1259	284
816	1261	282
817	1262	280
818	1263	279
819	1264	277
820	1265	275
821	1266	274
822	1267	272
823	1268	271
824	1270	269
825	1271	267
826	1272	266
827	1273	264
828	1274	262
829	1275	261
830	1276	259
831	1278	258
832	1279	256
833	1280	254
834	1281	253
835	1282	251
836	1283	249
837	1284	248
838	1285	246
839	1286	245
840	1287	243
841	1288	241
842	1289	240
843	1290	238
844	1292	237
845	1293	235
846	1294	233
847	1295	232
848	1296	230
849	1297	228
850	1298	227
851	1299	225
852	1300	224
853	1302	222
854	1303	221
855	1304	219
856	1305	217
857	1306	216
858	1307	214
859	1308	212
860	1309	211
861	1310	209
862	1311	208
863	1312	206
864	1314	205
865	1315	203
866	1316	201
867	1317	200
868	1318	198
869	1319	197
870	1321	195
871	1322	194
872	1323	192
873	1324	190
874	1325	189
875	1326	187
876	1327	186
877	1328	184
878	1329	183
879	1331	181
880	1332	179
881	1333	178
882	1334	176
883	1335	175
884	1336	173
885	1337	172
886	1338	170
887	1339	168
888	1340	167
889	1342	165
890	1343	164
891	1344	162
892	1345	161
893	1347	159
894	1348	158
895	1349	156
896	1350	155
897	1351	153
898	1352	151
899	1353	150
900	1354	148
901	1355	147
902	1357	145
903	1358	144
904	1359	142
905	1360	141
906	1361	139
907	1362	138
908	1363	136
909	1364	134
910	1365	133
911	1366	131
912	1367	130
913	1368	128
914	1370	127
915	1371	125
916	1372	124
917	1373	122
918	1374	121
919	1375	119
920	1376	118
921	1377	116
922	1378	115
923	1379	113
924	1380	111
925	1381	110
926	1382	108
927	1383	107
928	1385	105
929	1386	104
930	1387	102
931	1388	101
932	1389	99
933	1390	98
934	1391	96
935	1393	95
936	1394	93
937	1395	92
938	1396	90
939	1397	89
940	1398	87
941	1399	86
942	1400	84
943	1401	83
944	1403	81
945	1404	80
946	1405	78
947	1406	77
948	1407	75
949	1408	74
950	1409	72
951	1410	71
952	1411	69
953	1412	68
954	1413	66
955	1415	65
956	1416	63
957	1417	62
958	1418	60
959	1419	59
960	1420	57
961	1421	56
962	1458	56
963	1460	54
964	1461	53
965	1463	51
966	1464	49
967	1465	48
968	1466	46
969	1467	45
970	1468	43
971	1469	42
972	1470	40
973	1471	39
974	1473	37
975	1474	36
976	1475	34
977	1476	33
978	1477	31
979	1478	30
980	1479	28
981	1480	27
982	1481	25
983	1482	24
984	1483	22
985	1484	21
986	1486	19
987	1487	18
988	1488	16
989	1489	15
990	1490	13
991	1491	12
992	1492	10
993	1493	9
994	1494	7
995	1495	6
996	1497	4
997	1498	3
998	1499	1
999	1500	0
